issn;name;knowledgement_area;qualis
1981-030X;19&20 (RIO DE JANEIRO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;C 
2236-6695;A BARRIGUDA: REVISTA CIENTÍFICA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B4
1413-6090;A ECONOMIA EM REVISTA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B4
1516-3210;A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B4
0001-3072;ABACUS (SYDNEY. PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0102-6720;ABCD : ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B2
2318-4965;ABCS HEALTH SCIENCES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B3
2357-8114;ABCS HEALTH SCIENCES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B3
1980-4814;ABCUSTOS (SÃO LEOPOLDO, RS);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B4
1012-8255;ACADEMIA (CARACAS);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
1042-9670;ACADEMIC PSYCHIATRY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0001-4273;ACADEMY OF MANAGEMENT JOURNAL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1